OID_,Number,Name,Latitude,Longitude,District,Public_,Total_docks,shape_wkt,POINT_X,POINT_Y
323,E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Boston,Yes,15,POINT (-71.109841609999933 42.321765260000063),-71.10984160999993,42.32176526000006
324,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17,POINT (-71.028663999999935 42.344827000000066),-71.02866399999994,42.34482700000007
325,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19,POINT (-71.031613999999934 42.344796000000031),-71.03161399999993,42.34479600000003
326,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,25,POINT (-71.063186999999971 42.345901000000026),-71.06318699999997,42.345901000000026
328,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Boston,Yes,19,POINT (-71.124597789999939 42.363712760000055),-71.12459778999994,42.363712760000055
329,E32006,Jackson Square T Stop,42.32293117,-71.10014141,Boston,Yes,18,POINT (-71.100141409999935 42.322931170000061),-71.10014140999994,42.32293117000006
330,D32052,Jamaica St at South St,42.30604563,-71.11570891,Boston,Yes,19,POINT (-71.115708909999967 42.306045630000028),-71.11570890999997,42.30604563000002
332,C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Boston,Yes,31,POINT (-71.051180359999933 42.320339740000065),-71.05118035999993,42.32033974000007
337,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,26,POINT (-71.097008999999957 42.34870600000005),-71.09700899999996,42.34870600000005
341,B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Boston,Yes,15,POINT (-71.102352869999947 42.343690560000027),-71.10235286999995,42.34369056000003
343,B32058,Lansdowne T Stop,42.34734473,-71.10016808,Boston,Yes,27,POINT (-71.100168079999946 42.347344730000032),-71.10016807999995,42.34734473000003
344,D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Boston,Yes,17,POINT (-71.082550589999983 42.337594850000073),-71.08255058999998,42.33759485000007
346,A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Boston,Yes,21,POINT (-71.040301319999969 42.365678710000054),-71.04030131999997,42.36567871000005
347,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19,POINT (-71.050876999999957 42.363871000000074),-71.05087699999996,42.36387100000008
350,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15,POINT (-71.106499999999983 42.338629000000026),-71.10649999999998,42.338629000000026
353,D32020,Main St at Austin St,42.375603,-71.064608,Boston,Yes,11,POINT (-71.064607999999964 42.375603000000069),-71.06460799999996,42.37560300000007
354,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19,POINT (-71.07062899999994 42.380857000000049),-71.07062899999994,42.38085700000005
361,E32012,Martha Eliot Health Center,42.324173,-71.10196,Boston,Yes,16,POINT (-71.101959999999963 42.32417300000003),-71.10195999999996,42.32417300000003
418,C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18,POINT (-71.080657769999959 42.34652004000003),-71.08065776999996,42.34652004000003
204,B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Boston,Yes,12,POINT (-71.096270979999986 42.337586010000052),-71.09627097999999,42.337586010000045
198,D32002,Washington St at Waltham St,42.34157472,-71.0689044,Boston,Yes,15,POINT (-71.068904399999951 42.34157472000004),-71.06890439999995,42.34157472000004
60,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,POINT (-71.079467789999967 42.349589420000029),-71.07946778999997,42.34958942000002
61,C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Boston,Yes,19,POINT (-71.082369089999986 42.348803820000057),-71.08236908999999,42.34880382000006
62,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15,POINT (-71.097325009999963 42.344650630000046),-71.09732500999996,42.34465063000005
63,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,POINT (-71.086784149999971 42.347406210000031),-71.08678414999997,42.34740621000003
65,A32032,Bremen St at Marion St,42.37410622,-71.03276253,Boston,Yes,11,POINT (-71.032762529999957 42.374106220000044),-71.03276252999996,42.37410622000005
67,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,POINT (-71.104079179999985 42.334628930000065),-71.10407917999999,42.33462893000007
68,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,16,POINT (-71.150271889999942 42.348948570000061),-71.15027188999994,42.34894857000006
69,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,POINT (-71.137762069999951 42.36154571000003),-71.13776206999995,42.36154571000003
78,C32053,Broadway T Stop,42.34304858,-71.0580343,Boston,Yes,19,POINT (-71.058034299999974 42.343048580000072),-71.05803429999997,42.34304858000007
81,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,POINT (-71.069059969999955 42.374089910000066),-71.06905996999996,42.37408991000007
59,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,POINT (-71.073292489999972 42.351141980000079),-71.07329248999997,42.35114198000008
82,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,15,POINT (-71.100693999999976 42.345733000000052),-71.10069399999998,42.345733000000045
91,C23109,Cedar Grove T Stop,42.2796076,-71.0602212,Boston,Yes,18,POINT (-71.060221199999944 42.279607600000077),-71.06022119999993,42.27960760000008
94,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15,POINT (-71.039185489999966 42.37544913000005),-71.03918548999997,42.37544913000005
96,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,17,POINT (-71.157288509999944 42.28277901000007),-71.15728850999993,42.28277901000007
97,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19,POINT (-71.153447549999953 42.286331990000065),-71.15344754999995,42.28633199000007
99,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19,POINT (-71.071189619999984 42.360792970000034),-71.07118961999998,42.360792970000034
100,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23,POINT (-71.05481199999997 42.374124550000033),-71.05481199999997,42.37412455000003
105,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,POINT (-71.059366999999952 42.351356000000067),-71.05936699999995,42.351356000000074
106,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,POINT (-71.062678999999946 42.35240900000008),-71.06267899999995,42.35240900000008
110,A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Boston,Yes,25,POINT (-71.110046799999964 42.336610060000055),-71.11004679999996,42.336610060000055
112,C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15,POINT (-71.127753999999982 42.28707200000008),-71.12775399999998,42.28707200000008
88,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15,POINT (-71.065287439999963 42.361257220000027),-71.06528743999996,42.36125722000003
58,D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Boston,Yes,31,POINT (-71.070463659999973 42.352060050000034),-71.07046365999997,42.352060050000034
57,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,POINT (-71.065122489999965 42.307852240000045),-71.06512248999996,42.307852240000045
56,A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,17,POINT (-71.141675379999981 42.356560920000049),-71.14167537999998,42.35656092000005
5,C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17,POINT (-71.095002999999963 42.288870000000031),-71.09500299999996,42.28887000000003
10,C32106,555 Metropolitan Ave,42.2681,-71.11924,Boston,Yes,18,POINT (-71.119239999999934 42.268100000000061),-71.11923999999993,42.26810000000006
11,C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Boston,Yes,18,POINT (-71.109724999999969 42.285780000000045),-71.10972499999997,42.285780000000045
12,C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19,POINT (-71.039870169999972 42.341780890000052),-71.03987016999997,42.341780890000045
15,B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16,POINT (-71.103915239999935 42.349609450000059),-71.10391523999994,42.34960945000006
22,C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15,POINT (-71.068944599999952 42.336647950000042),-71.06894459999995,42.33664795000004
25,C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Boston,Yes,14,POINT (-71.116877029999955 42.278811580000081),-71.11687702999996,42.27881158000008
28,B32004,Aquarium T Stop - 200 Atlantic Ave,42.36044136,-71.0504394,Boston,Yes,23,POINT (-71.050439399999959 42.360441360000038),-71.05043939999996,42.36044136000004
29,C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Boston,Yes,15,POINT (-71.121195389999968 42.292665930000055),-71.12119538999997,42.292665930000055
31,C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15,POINT (-71.064138899999989 42.285694400000068),-71.06413889999999,42.285694400000075
35,A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11,POINT (-71.108278999999982 42.350406000000078),-71.10827899999998,42.35040600000008
36,C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,Yes,19,POINT (-71.076570149999952 42.348074120000035),-71.07657014999995,42.34807412000004
39,B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15,POINT (-71.090158199999962 42.329463300000043),-71.09015819999996,42.32946330000004
40,C32108,Beach St at Freeport St,42.30367409,-71.05425954,Boston,Yes,19,POINT (-71.054259539999975 42.303674090000072),-71.05425953999998,42.30367409000007
42,D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,Yes,19,POINT (-71.069848999999977 42.356052000000034),-71.06984899999998,42.356052000000034
44,C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Boston,Yes,14,POINT (-71.136721299999977 42.286345890000064),-71.13672129999998,42.286345890000064
46,A32028,Bennington St at Byron St,42.38353252,-71.01619095,Boston,Yes,15,POINT (-71.016190949999952 42.383532520000074),-71.01619094999995,42.38353252000008
47,A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Boston,Yes,15,POINT (-71.010630689999971 42.38522394000006),-71.01063068999997,42.38522394000007
50,C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,Yes,19,POINT (-71.093725519999964 42.274620670000047),-71.09372551999996,42.27462067000005
51,C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Boston,Yes,18,POINT (-71.090985999999987 42.286012000000028),-71.09098599999999,42.28601200000002
52,B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,25,POINT (-71.057628999999963 42.358920000000069),-71.05762899999996,42.35892000000007
54,D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,Yes,23,POINT (-71.045359969999936 42.347763450000059),-71.04535996999994,42.34776345000006
55,A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15,POINT (-71.041020079999953 42.373312130000045),-71.04102007999995,42.373312130000045
113,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15,POINT (-71.12820531999995 42.286307160000035),-71.12820531999995,42.28630716000004
114,E32014,Ross Playground,42.2645666,-71.1145523,Boston,Yes,19,POINT (-71.114552299999957 42.26456660000008),-71.11455229999996,42.26456660000008
115,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15,POINT (-71.050698999999952 42.357143000000065),-71.05069899999995,42.35714300000007
116,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23,POINT (-71.095170999999937 42.331184000000064),-71.09517099999994,42.331184000000064
158,C32110,Talbot Ave T Station,42.29225148,-71.07797205,Boston,Yes,19,POINT (-71.077972049999971 42.292251480000061),-71.07797204999997,42.29225148000006
161,E32011,The Dimock Center,42.31930943,-71.09639924,Boston,Yes,16,POINT (-71.096399239999982 42.319309430000033),-71.09639923999998,42.31930943000003
162,A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,POINT (-71.044200999999987 42.370744000000059),-71.04420099999999,42.37074400000006
163,C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,POINT (-71.044023999999979 42.344792000000041),-71.04402399999998,42.34479200000004
164,D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Boston,Yes,18,POINT (-71.145498139999972 42.346790080000062),-71.14549813999997,42.34679008000006
167,C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,POINT (-71.06961599999994 42.345392000000061),-71.06961599999994,42.34539200000006
168,B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Boston,Yes,18,POINT (-71.061666459999969 42.356683350000026),-71.06166645999997,42.356683350000026
169,C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Boston,Yes,19,POINT (-71.081690499999979 42.33843180000008),-71.08169049999998,42.33843180000008
170,C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,Yes,15,POINT (-71.074214489999974 42.342549140000074),-71.07421448999997,42.34254914000008
171,D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,POINT (-71.063347999999962 42.354979000000071),-71.06334799999996,42.35497900000007
173,C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,5,POINT (-71.062255999999934 42.343749000000059),-71.06225599999993,42.34374900000006
176,A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19,POINT (-71.137312999999949 42.353334000000075),-71.13731299999995,42.35333400000008
179,C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Boston,Yes,19,POINT (-71.036485859999971 42.312189180000075),-71.03648585999997,42.31218918000008
181,A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Boston,Yes,24,POINT (-71.059349029999964 42.364738990000035),-71.05934902999996,42.36473899000004
185,C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,Yes,20,POINT (-71.051443199999937 42.339108500000066),-71.05144319999994,42.33910850000007
186,C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Boston,Yes,17,POINT (-71.046228999999983 42.335958980000044),-71.04622899999998,42.33595898000005
187,C32102,Walnut Ave at School St,42.31242399,-71.09616905,Boston,Yes,19,POINT (-71.096169049999958 42.31242399000007),-71.09616904999996,42.31242399000007
188,D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,POINT (-71.060291999999947 42.371848000000057),-71.06029199999995,42.37184800000006
191,D32029,Washington St at Brock St,42.34895285,-71.16031677,Boston,Yes,15,POINT (-71.160316769999952 42.348952850000046),-71.16031676999995,42.348952850000046
193,C32005,Washington St at Lenox St,42.33509899,-71.07903779,Boston,Yes,15,POINT (-71.079037789999973 42.335098990000063),-71.07903778999997,42.33509899000006
194,B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19,POINT (-71.081197999999972 42.332817000000034),-71.08119799999997,42.332817000000034
195,C32006,Washington St at Rutland St,42.3385146,-71.07404083,Boston,Yes,27,POINT (-71.074040829999944 42.338514600000053),-71.07404082999993,42.338514600000046
196,C32038,Washington St at Talbot Ave,42.290333,-71.071806,Boston,Yes,17,POINT (-71.071805999999981 42.290333000000032),-71.07180599999998,42.29033300000003
157,C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,POINT (-71.087110999999936 42.294583300000056),-71.08711099999994,42.294583300000056
199,C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Boston,Yes,15,POINT (-71.045692559999964 42.351586000000054),-71.04569255999996,42.35158600000005
156,C32064,Sydney St at Carson St,42.32039374,-71.05355408,Boston,Yes,19,POINT (-71.053554079999969 42.320393740000043),-71.05355407999997,42.32039374000004
153,A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19,POINT (-71.05216299999995 42.358155000000068),-71.05216299999995,42.358155000000075
117,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Boston,Yes,10,POINT (-71.082430779999981 42.31787329000008),-71.08243077999998,42.31787329000008
118,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Boston,Yes,26,POINT (-71.087985629999935 42.336244450000038),-71.08798562999993,42.33624445000004
119,E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Boston,Yes,15,POINT (-71.110891699999968 42.327603870000075),-71.11089169999997,42.32760387000008
123,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14,POINT (-71.053899999999942 42.310600000000079),-71.05389999999994,42.31060000000008
124,C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Boston,Yes,15,POINT (-71.04817356999996 42.353178090000029),-71.04817356999996,42.35317809000002
125,B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Boston,Yes,19,POINT (-71.041677439999944 42.34881026000005),-71.04167743999993,42.34881026000005
126,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Boston,Yes,23,POINT (-71.044360849999975 42.351481930000034),-71.04436084999998,42.351481930000034
128,D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Boston,Yes,19,POINT (-71.080381569999986 42.33584613000005),-71.08038156999999,42.33584613000005
129,D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Boston,Yes,15,POINT (-71.065591849999976 42.348545430000058),-71.06559184999998,42.34854543000006
130,E32009,Shawmut T Stop,42.292917,-71.06575,Boston,Yes,19,POINT (-71.06574999999998 42.292917000000045),-71.06574999999998,42.292917000000045
133,D32032,Silber Way,42.349496,-71.10057592,Boston,Yes,19,POINT (-71.100575919999983 42.349496000000045),-71.10057591999998,42.349496000000045
135,A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Boston,Yes,15,POINT (-71.11827569999997 42.364263440000059),-71.11827569999997,42.36426344000006
140,C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15,POINT (-71.038769999999943 42.335741000000041),-71.03876999999994,42.33574100000004
141,A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15,POINT (-71.076846999999987 42.341332000000079),-71.07684699999999,42.34133200000008
142,A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47,POINT (-71.055546999999933 42.352175000000045),-71.05554699999993,42.352175000000045
143,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,POINT (-71.048926999999935 42.378338000000042),-71.04892699999994,42.37833800000004
144,C32087,Spring St at Powell St,42.27748444,-71.16341468,Boston,Yes,19,POINT (-71.16341467999996 42.27748444000008),-71.16341467999996,42.27748444000008
146,B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Boston,Yes,18,POINT (-71.101246479999986 42.333292550000067),-71.10124647999999,42.333292550000074
147,C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19,POINT (-71.052607999999964 42.344137000000046),-71.05260799999996,42.344137000000046
148,D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,19,POINT (-71.10437399999995 42.316966000000036),-71.10437399999995,42.31696600000004
149,D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Boston,Yes,19,POINT (-71.072420739999984 42.349544030000061),-71.07242073999998,42.34954403000006
150,D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18,POINT (-71.066288999999983 42.351146000000028),-71.06628899999998,42.35114600000002
151,D32053,Sullivan Square,42.38445226,-71.07514855,Boston,Yes,19,POINT (-71.075148549999938 42.384452260000046),-71.07514854999994,42.384452260000046
154,A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Boston,Yes,27,POINT (-71.056564009999988 42.352945700000078),-71.05656400999999,42.35294570000008
419,A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19,POINT (-71.053180999999938 42.354659000000026),-71.05318099999994,42.35465900000003
